"Year","Date","Subregion","Habitat","SiteID","Site","Station","Species","Sp.Name","Diameter","Height","X.OLD","X.RECENT","TISSUE_ISOLATES","Conditions","Trim_Conditions","LTA_cm2","fYear"
2018,"7/2/2018","BC","Nearshore",NA,"Broward County 1","871","SSID",NA,2,1,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Nearshore",NA,"Broward County 1","871","SSID",NA,2,1,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Nearshore",NA,"Broward County 1","871","SMIC",NA,3,1,5,0,1,"PAL",NA,NA,"2018"
2018,"7/2/2018","BC","Nearshore",NA,"Broward County 1","871","SMIC",NA,3,1,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Nearshore",NA,"Broward County 1","871","SSID",NA,3,1,10,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Nearshore",NA,"Broward County 1","871","PAST",NA,3,1,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Nearshore",NA,"Broward County 1","873","SSID",NA,2,1,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Nearshore",NA,"Broward County 1","874","AFRA",NA,3,1,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Nearshore",NA,"Broward County 1","874","AFRA",NA,3,1,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Nearshore",NA,"Broward County 1","874","SSID",NA,3,1,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","881","MMEA",NA,3,1,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","881","MMEA",NA,3,2,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","881","SMIC",NA,2,1,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","881","SSID",NA,3,1,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","881","MCAV",NA,3,1,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","881","MCAV",NA,3,1,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","882","SSID",NA,3,1,1,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","882","MCAV",NA,3,1,1,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","882","PAST",NA,3,1,10,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","882","SSID",NA,3,1,1,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","882","SMIC",NA,3,1,1,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","882","SSID",NA,3,1,10,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","882","SSID",NA,3,1,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","882","MCAV",NA,3,1,10,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","882","MCAV",NA,3,1,10,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","882","CNAT",NA,3,1,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","882","SSID",NA,3,1,10,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","882","SMIC",NA,3,1,0,0,1,"CDL",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","882","SSID",NA,3,1,1,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","883","MCAV",NA,3,1,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","883","SMIC",NA,3,2,2,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","883","SMIC",NA,3,1,40,0,2,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","883","MCAV",NA,3,2,5,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","883","PPOR",NA,3,3,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","883","SMIC",NA,3,1,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","883","DSTO",NA,2,2,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","883","SMIC",NA,3,1,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","884","SSID",NA,3,1,5,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","884","SSID",NA,3,1,10,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","884","SSID",NA,3,1,5,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","884","MCAV",NA,3,1,10,0,1,"PAL",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","884","SSID",NA,3,1,0,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","884","SSID",NA,3,3,50,0,2,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","884","SSID",NA,2,1,40,0,1,"0",NA,NA,"2018"
2018,"7/2/2018","BC","Middle",NA,"Broward County 2","884","MCAV",NA,3,1,0,0,1,"0",NA,NA,"2018"
2018,"7/9/2018","BC","Outer",NA,"Broward County 3","891","SMIC",NA,3,1,5,0,1,"0",NA,NA,"2018"
2018,"7/9/2018","BC","Outer",NA,"Broward County 3","891","MCAV",NA,2,1,0,0,1,"0",NA,NA,"2018"
2018,"7/9/2018","BC","Outer",NA,"Broward County 3","891","SMIC",NA,3,2,5,0,1,"0",NA,NA,"2018"
2018,"7/9/2018","BC","Outer",NA,"Broward County 3","891","MCAV",NA,3,1,0,0,1,"0",NA,NA,"2018"
2018,"7/9/2018","BC","Outer",NA,"Broward County 3","891","SSID",NA,2,1,0,0,1,"0",NA,NA,"2018"
