PERMDISP
Distance-based test for homogeneity of multivariate dispersions

Resemblance worksheet
Name: Resem13
Data type: Similarity
Selection: All
Transform: Square root
Resemblance: S17 Bray-Curtis similarity

Group factor: Year
Number of permutations: 9999

Number of groups: 20
Number of samples: 1088

DEVIATIONS FROM CENTROID
F: 5.4512  df1: 19  df2: 1068
P(perm): 0.0001

PAIRWISE COMPARISONS
Groups	       t	P(perm)				
(2003,2004)	 0.11505	 0.9295				
(2003,2005)	  1.3214	 0.2849				
(2003,2006)	 0.27107	 0.7877				
(2003,2007)	 0.81696	 0.5074				
(2003,2008)	 0.72839	 0.5202				
(2003,2009)	 0.55167	 0.6307				
(2003,2010)	  1.5437	 0.1701				
(2003,2011)	  2.2621	 0.0401				
(2003,2012)	  0.8931	 0.4141				
(2003,2013)	  2.4799	 0.0252				
(2003,2014)	  3.6144	 0.0012				
(2003,2015)	  2.7727	 0.0131				
(2003,2016)	  1.6607	 0.1098				
(2003,2017)	  3.8541	 0.0006				
(2003,2018)	  1.3593	 0.2098				
(2003,2019)	  4.6751	 0.0001				
(2003,2020)	  3.9545	 0.0007				
(2003,2021)	  2.5387	  0.033				
(2003,2022)	  4.2369	 0.0001				
(2004,2005)	  1.2815	 0.3145				
(2004,2006)	  0.1523	 0.8881				
(2004,2007)	 0.84657	 0.5115				
(2004,2008)	 0.55131	 0.6358				
(2004,2009)	 0.60574	 0.6199				
(2004,2010)	  1.5167	 0.1993				
(2004,2011)	  2.1609	 0.0622				
(2004,2012)	 0.94395	 0.4162				
(2004,2013)	  2.4205	 0.0333				
(2004,2014)	  3.3891	 0.0016				
(2004,2015)	  2.6622	 0.0153				
(2004,2016)	  1.6756	 0.1195				
(2004,2017)	  3.6461	 0.0013				
(2004,2018)	  1.4029	 0.2106				
(2004,2019)	    4.39	 0.0001				
(2004,2020)	   3.731	 0.0009				
(2004,2021)	  2.4798	 0.0505				
(2004,2022)	  4.0208	 0.0004				
(2005,2006)	  1.3451	 0.2052				
(2005,2007)	 0.38949	 0.7482				
(2005,2008)	  2.0005	  0.076				
(2005,2009)	 0.96038	 0.4121				
(2005,2010)	0.024842	 0.9822				
(2005,2011)	 0.84149	   0.45				
(2005,2012)	 0.45497	 0.6869				
(2005,2013)	 0.91035	 0.4115				
(2005,2014)	  1.9148	 0.0895				
(2005,2015)	  1.0935	 0.3156				
(2005,2016)	0.064477	   0.95				
(2005,2017)	   2.303	 0.0394				
(2005,2018)	 0.18159	 0.8633				
(2005,2019)	  3.1978	 0.0051				
(2005,2020)	  2.3959	 0.0284				
(2005,2021)	   1.009	 0.4056				
(2005,2022)	  2.7903	 0.0106				
(2006,2007)	 0.94585	  0.381				
(2006,2008)	 0.35634	 0.7346				
(2006,2009)	 0.73031	 0.4841				
(2006,2010)	  1.6021	 0.1234				
(2006,2011)	  2.1969	 0.0347				
(2006,2012)	  1.0693	 0.3178				
(2006,2013)	  2.4926	 0.0168				
(2006,2014)	  3.3721	 0.0015				
(2006,2015)	  2.7103	 0.0081				
(2006,2016)	  1.7963	 0.0819				
(2006,2017)	  3.6267	 0.0006				
(2006,2018)	  1.5393	 0.1384				
(2006,2019)	  4.3189	 0.0001				
(2006,2020)	  3.7032	 0.0004				
(2006,2021)	  2.5497	 0.0261				
(2006,2022)	  3.9875	 0.0002				
(2007,2008)	  1.4742	 0.2084				
(2007,2009)	 0.40621	 0.7384				
(2007,2010)	 0.47206	 0.6759				
(2007,2011)	  1.1894	   0.29				
(2007,2012)	0.022583	  0.984				
(2007,2013)	  1.3156	  0.246				
(2007,2014)	  2.2448	 0.0523				
(2007,2015)	   1.504	 0.1782				
(2007,2016)	 0.53616	 0.6049				
(2007,2017)	  2.5871	 0.0214				
(2007,2018)	 0.28962	 0.8015				
