PERMANOVA
Permutational MANOVA

Resemblance worksheet
Name: Resem13
Data type: Similarity
Selection: All
Transform: Square root
Resemblance: S17 Bray-Curtis similarity

Sums of squares type: Type III (partial)
Fixed effects sum to zero for mixed terms
Permutation method: Permutation of residuals under a reduced model
Number of permutations: 9999

Factors
Name	Abbrev.	Type	Levels
Year	Ye	Fixed	    20
Site_name	Si	Fixed	    18

PAIR-WISE TESTS

Term 'Ye'

	        	       	Unique
Groups	       t	P(perm)	 perms
2003, 2004	   2.055	  0.005	  9964
2003, 2005	  1.5438	 0.0715	  9963
2003, 2006	  3.3348	 0.0002	  9958
2003, 2007	  2.3201	  0.002	  9960
2003, 2008	  4.0968	 0.0001	  9954
2003, 2009	  3.8381	 0.0001	  9960
2003, 2010	  3.9657	 0.0001	  9959
2003, 2011	  4.2183	 0.0001	  9968
2003, 2012	  4.3865	 0.0001	  9962
2003, 2013	  4.4882	 0.0001	  9955
2003, 2014	  4.8382	 0.0001	  9955
2003, 2015	  4.5552	 0.0001	  9969
2003, 2016	  12.891	 0.0001	  9944
2003, 2017	  8.5093	 0.0001	  9956
2003, 2018	  4.5863	 0.0001	  9960
2003, 2019	  10.363	 0.0001	  9961
2003, 2020	  7.1331	 0.0001	  9959
2003, 2021	  8.9026	 0.0001	  9956
2003, 2022	   7.608	 0.0001	  9964
2004, 2005	  1.5481	 0.0604	  9955
2004, 2006	  3.3417	 0.0002	  9957
2004, 2007	  1.2579	 0.1999	  9955
2004, 2008	    2.82	 0.0006	  9957
2004, 2009	   2.352	 0.0013	  9958
2004, 2010	  3.0304	 0.0001	  9956
2004, 2011	  3.7928	 0.0001	  9939
2004, 2012	  3.5157	 0.0001	  9959
2004, 2013	  3.8619	 0.0001	  9957
2004, 2014	  4.2899	 0.0001	  9963
2004, 2015	  3.9605	 0.0001	  9950
2004, 2016	  11.782	 0.0001	  9953
2004, 2017	  7.5409	 0.0001	  9958
2004, 2018	  4.0656	 0.0001	  9969
2004, 2019	   9.548	 0.0001	  9955
2004, 2020	  6.6926	 0.0001	  9966
2004, 2021	  8.3019	 0.0001	  9953
2004, 2022	  7.0763	 0.0001	  9956
2005, 2006	  2.6881	 0.0025	  9959
2005, 2007	  1.2356	 0.2123	  9949
2005, 2008	  3.0866	 0.0001	  9960
2005, 2009	  2.8148	 0.0001	  9949
2005, 2010	  2.7928	 0.0001	  9962
2005, 2011	   3.041	 0.0001	  9952
2005, 2012	  3.0604	 0.0001	  9954
2005, 2013	  3.4421	 0.0001	  9947
2005, 2014	  3.6987	 0.0001	  9959
2005, 2015	  3.6007	 0.0001	  9954
2005, 2016	   11.35	 0.0001	  9951
2005, 2017	  6.8948	 0.0001	  9953
2005, 2018	  3.6793	 0.0001	  9966
2005, 2019	  9.0616	 0.0001	  9957
2005, 2020	  5.9503	 0.0001	  9959
2005, 2021	  7.6274	 0.0001	  9964
2005, 2022	  6.3338	 0.0001	  9953
2006, 2007	  2.7391	 0.0026	  9965
2006, 2008	  2.5862	 0.0052	  9968
2006, 2009	  3.3227	 0.0004	  9966
2006, 2010	  2.7952	  0.001	  9961
2006, 2011	  1.9924	 0.0263	  9961
2006, 2012	  2.1537	 0.0161	  9960
2006, 2013	  2.0845	 0.0224	  9952
2006, 2014	  2.3081	 0.0074	  9974
2006, 2015	   2.209	 0.0131	  9961
2006, 2016	  6.2319	 0.0001	  9955
2006, 2017	  2.9141	 0.0009	  9951
2006, 2018	  2.0004	  0.025	  9952
2006, 2019	  4.0779	 0.0001	  9950
2006, 2020	  1.8819	   0.04	  9949
2006, 2021	  3.1364	 0.0006	  9964
2006, 2022	  2.0677	 0.0242	  9957
2007, 2008	   2.615	 0.0022	  9964
2007, 2009	  1.9142	 0.0107	  9964
2007, 2010	  2.0587	 0.0053	  9960
2007, 2011	  2.5249	 0.0011	  9949
2007, 2012	  2.1921	 0.0038	  9953
2007, 2013	  2.8863	 0.0003	  9950
2007, 2014	  3.3121	 0.0001	  9968
2007, 2015	  2.9119	 0.0003	  9952
2007, 2016	   10.84	 0.0001	  9960
2007, 2017	  6.4982	 0.0001	  9957
2007, 2018	  2.9626	 0.0001	  9958
2007, 2019	  8.7048	 0.0001	  9951
2007, 2020	  5.4858	 0.0001	  9973
2007, 2021	  7.3075	 0.0001	  9960
2007, 2022	  6.1647	 0.0001	  9967
2008, 2009	  1.2812	 0.2067	  9965
2008, 2010	  2.0762	 0.0136	  9962
2008, 2011	  2.5032	 0.0015	  9962
2008, 2012	  2.1757	 0.0099	  9951
2008, 2013	  2.0723	 0.0195	  9971
2008, 2014	  2.6153	 0.0014	  9978
2008, 2015	  2.2606	 0.0099	  9957
2008, 2016	  8.5321	 0.0001	  9953
2008, 2017	  4.2807	 0.0001	  9959
2008, 2018	  2.1668	 0.0093	  9964
2008, 2019	  6.1526	 0.0001	  9956
2008, 2020	  3.7758	 0.0001	  9954
2008, 2021	  5.3231	 0.0001	  9943
2008, 2022	  4.1961	 0.0001	  9963
2009, 2010	  1.7907	 0.0214	  9961
2009, 2011	  2.8062	 0.0004	  9963
2009, 2012	   2.329	 0.0024	  9964
2009, 2013	  2.5408	  0.002	  9963
2009, 2014	  2.9984	 0.0001	  9967
2009, 2015	  2.6364	 0.0008	  9962
2009, 2016	   11.33	 0.0001	  9954
2009, 2017	  6.5055	 0.0001	  9964
2009, 2018	  2.9355	 0.0001	  9963
2009, 2019	  8.9675	 0.0001	  9953
2009, 2020	  5.5299	 0.0001	  9970
2009, 2021	  7.5306	 0.0001	  9957
2009, 2022	  6.2915	 0.0001	  9954
2010, 2011	Negative	       	      
2010, 2012	  1.8207	 0.0177	  9955
2010, 2013	  1.4173	 0.1196	  9974
2010, 2014	   2.692	 0.0002	  9947
2010, 2015	  2.2612	 0.0039	  9959
2010, 2016	  11.535	 0.0001	  9946
2010, 2017	  6.2063	 0.0001	  9955
2010, 2018	   4.068	 0.0001	  9970
2010, 2019	  9.3255	 0.0001	  9951
2010, 2020	  5.8146	 0.0001	  9966
2010, 2021	  6.5009	 0.0001	  9959
2010, 2022	  6.1913	 0.0001	  9952
2011, 2012	  1.3437	 0.1473	  9966
2011, 2013	   1.877	 0.0201	  9952
2011, 2014	  2.9207	 0.0001	  9951
2011, 2015	  2.2768	 0.0024	  9956
2011, 2016	  11.293	 0.0001	  9957
2011, 2017	  6.0363	 0.0001	  9956
2011, 2018	  4.2784	 0.0001	  9961
2011, 2019	  9.2945	 0.0001	  9951
2011, 2020	  5.6182	 0.0001	  9965
2011, 2021	  6.3181	 0.0001	  9950
2011, 2022	  6.0563	 0.0001	  9953
2012, 2013	  1.7598	  0.036	  9958
2012, 2014	  2.2142	 0.0015	  9960
2012, 2015	  1.9891	 0.0126	  9965
